nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI PELATIHAN TALENTA KOMUNIKASI DAN DIGITAL - 677265,01KSH9Y3PY7W7KQ0Z8QZGHHNEZ,67036424,2026,E-Katalog 6.0,APBN,GRASIA ABADI MANDIRI,E-Purchasing,Barang,Persediaan Pemeliharaan Peralatan dan Mesin BPT Komdigi,COMPLETED,104915868,104915868
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MANADO - 694705,10902596000,64328055,2026,Non Tender,APBN,MALPI TECH SOLUTIONS,Pengadaan Langsung,Jasa Lainnya,Pemeliharaan Alat Monitoring Balmon Manado 2026,SELESAI,99959940,99959940
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL - 694731,01KDYDMMRW1S8RWYAVTQQFQ2M8,66350364,2026,E-Katalog 6.0,APBN,APLIKANUSA LINTASARTA,E-Purchasing,Jasa Lainnya,Sewa Kolokasi dan Metro-E pada Sistem TKPPSE,COMPLETED,1389999999,1389999999
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL - 694727,01KMQ9ZYVCV4AD5FBK2V8MPPJG,65961487,2026,E-Katalog 6.0,APBN,MAHAVIRA SYSTEM INTEGRA,E-Purchasing,Barang,Alat Pengolah Data Penyusunan Rekomendasi Kebijakan Roadmap Infrastruktur Digital dan Pusat Data,COMPLETED,247999996,0
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL - 694727,01KJNP1P9N8NRQ1NRBJWBCYAQQ,65953115,2026,E-Katalog 6.0,APBN,BATAVIA JAYA MANDIRI,E-Purchasing,Barang,PENGADAAN SARANA PENUNJANG KEGIATAN SENI DAN KREATIVITAS DI LINGKUNGAN DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,COMPLETED,274836000,274836000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I SEMARANG - ,01KJPFM1AQXEFEHHRK3VYB7G4T,63565375,2026,E-Katalog 6.0,APBN,ANUGRAH PRATAMA,E-Purchasing,Barang,ADF Paper Scanner,PAYMENT OUTSIDE SYSTEM,14999430,14999430
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL - 694727,01KQ6HR396M9PBMJJRQBH60M74,66877959,2026,E-Katalog 6.0,APBN,MUTIARA BANTEN CITRA RAYA,E-Purchasing,Barang,Pengadaan ATK dan Keperluan Perkantoran Dit. Layanan Infradig - LANID,COMPLETED,96893825,96893825
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MANADO - 694705,10825916000,66869458,2026,Non Tender,APBN,PT HND GEMILANG SOLUSINDO,Pengadaan Langsung,Pengadaan Barang,Alat Pengolah Data Balmon Manado 2026,SELESAI,160000000,160000000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL - 694727,01KV4VE7WM0W8CT2DPE9PJTYA9,67296361,2026,E-Katalog 6.0,APBN,TEKNOVASI LINTAS GLOBAL INDONESIA,E-Purchasing,Jasa Lainnya,Perpanjangan Support Sistem Backup dan Recovery Data Pusat Komputasi Layanan Internal DJID 2026,ON PROCESS,326690000,326690000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BADAN AKSESIBILITAS TELEKOMUNIKASI DAN INFORMASI (BAKTI) - 638041,01KE583NHTCPF93F7QA4P82Q9M,62459704,2026,E-Katalog 6.0,APBN,BANGUN KELOLA SWADAYA,E-Purchasing,Jasa Lainnya,Penyediaan Layanan Akses Internet Eksisting (Sewa Layanan Akses Internet Non Papua),ON PROCESS,16806998422,16806998422
KEMENTERIAN KOMUNIKASI DAN DIGITAL,SEKRETARIAT KOMISI INFORMASI PUSAT - 677382,01KGF0DHVQP8NFGXM54YVFDK5X,62386869,2026,E-Katalog 6.0,APBN,SERASI AUTORAYA,E-Purchasing,Barang,Sewa Mobil Ops,COMPLETED,293040000,293040000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II PALU - 694717,01KJVMNXW0MDWSV8ZKWVWK4AP6,62113782,2026,E-Katalog 6.0,APBN,SUKSES TUJUH JAYA,E-Purchasing,Barang,Pengadaan Meubelair Balmon Palu,COMPLETED,65268000,65268000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I SEMARANG - ,01KJPETYXNM993BQCR0PMZHV9Y,63565376,2026,E-Katalog 6.0,APBN,ANUGRAH PRATAMA,E-Purchasing,Barang,PC Transportable TCI,PAYMENT OUTSIDE SYSTEM,59440500,0
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BADAN AKSESIBILITAS TELEKOMUNIKASI DAN INFORMASI (BAKTI) - 638041,01KE6JFYKKJZSWKW8RN23Y3KY4,62459704,2026,E-Katalog 6.0,APBN,JASA TELEKOMUNIKASI UTAMA,E-Purchasing,Jasa Lainnya,Penyediaan Layanan Akses Internet Eksisting (Sewa Layanan Akses Internet Non Papua),ON PROCESS,22635900721,22635900721
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANJARMASIN - 694714,01KG94FN2CBKSJRK4G1FRH8B6V,62185318,2026,E-Katalog 6.0,APBN,ARRASY,E-Purchasing,Jasa Lainnya,Sewa Laptop,PAYMENT OUTSIDE SYSTEM,101199999,101199999
KEMENTERIAN KOMUNIKASI DAN DIGITAL,DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL - 694727,01KDPS9V0H68PCXGQFKC5VZRJQ,62305204,2026,E-Katalog 6.0,APBN,SAVINDA ANTAR NUSANTARA,E-Purchasing,Jasa Lainnya,Pengadaan Penyediaan Layanan Akses Internet Broadband untuk Mendukung Percepatan Penetrasi FBB Nasional Wilayah Kab. Jawa Barat (DITAKSEL),ON PROCESS,216689760,216689760
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MATARAM - 694716,01KDSS57ZKFH6Y5KRGG6EC7K37,62530659,2026,E-Katalog 6.0,APBN,NURHASANAH,E-Purchasing,Jasa Lainnya,Sewa Mesin Foto Copy,ON PROCESS,59940000,59940000
KEMENTERIAN KOMUNIKASI DAN DIGITAL,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II MANADO - 694705,10289985000,42310011,2026,Swakelola,APBN,"Manuelson Jaka Jusuf dan TIM, Manuelson Jaka Jusuf dan TIM, Manuelson Jaka Jusuf dan TIM, Manuelson Jaka Jusuf dan TIM",,,Penanganan Piutang BHP Balmon Manado 2026,PAKET SEDANG BERJALAN,9620000,0
KEMENTERIAN KOMUNIKASI DAN DIGITAL,LOKA MONITOR SPEKTRUM FREKUENSI RADIO GORONTALO - 694725,01KSRNHH0E5MCVEJ657G08914F,66588162,2026,E-Katalog 6.0,APBN,NUSA MEDIA TEKNOLOGI,E-Purchasing,Barang,Pengadaan HDMI Wireless Transmision,ON PROCESS,37584600,0
