nama_instansi,nama_satuan_kerja,kode_paket,kode_rup,tahun_anggaran,sumber_transaksi,sumber_dana,nama_penyedia,metode_pengadaan,jenis_pengadaan,nama_paket,status_paket,total_nilai,nilai_pdn
KAB. DOMPU,DINAS KESEHATAN - 1.02.0.00.0.00.01.0000,01KWDZSE1F1MCCTQM1R70T0JBE,66099464,2026,E-Katalog 6.0,APBD,CIPTA MEDIKA SEMPURNA,E-Purchasing,Barang,Obat,ON PROCESS,16286697,0
KAB. DOMPU,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10911189000,66304510,2026,Non Tender,APBD,CV. RASHAKEKAI,Pengadaan Langsung,Pekerjaan Konstruksi,Pemasangan Bronjong Dusun Madalibi Desa Madaprama,SELESAI,90990000,90990000
KAB. DOMPU,KECAMATAN PEKAT - 7.01.0.00.0.00.06.0000,10943528000,65562625,2026,Pencatatan,APBD,Julianto,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor,PAKET SEDANG BERJALAN,448000,448000
KAB. DOMPU,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10846006000,66306348,2026,Non Tender,APBD,CV. HERTEK,Pengadaan Langsung,Pekerjaan Konstruksi,Bor Air RT 16 Kelurahan Simpasai,SELESAI,90930000,90930000
KAB. DOMPU,DINAS KEBUDAYAAN DAN PARIWISATA - 2.22.3.26.0.00.01.0000,10921993000,65422982,2026,Pencatatan,APBD,UD. WARNA,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAKET SEDANG BERJALAN,400000,400000
KAB. DOMPU,DINAS KEBUDAYAAN DAN PARIWISATA - 2.22.3.26.0.00.01.0000,10327578000,42740036,2026,Swakelola,APBD,"EMMY RISWANI, SP",,,Belanja Perjalanan Dinas Dalam Kota,PAKET SEDANG BERJALAN,2160000,0
KAB. DOMPU,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG - 1.03.0.00.0.00.01.0000,10879906000,66385476,2026,Non Tender,APBD,CV. TAMBORA JAYA,Pengadaan Langsung,Pekerjaan Konstruksi,Peningkatan Jalan Ekonomi Desa Tambora,SELESAI,68249000,68249000
KAB. DOMPU,RUMAH SAKIT UMUM DAERAH DOMPU - 1.02.0.00.0.00.01.0001,01KR6ECBBB9R2JES5GMADTA1KC,66574273,2026,E-Katalog 6.0,BLUD,SENTRAL MUTU,E-Purchasing,Barang,"Pengadaan Alat Pendingin (AC, Kipas Angin )",ON PROCESS,19980000,19980000
KAB. DOMPU,KECAMATAN MANGGELEWA - 7.01.0.00.0.00.07.0000,10973149000,65594366,2026,Pencatatan,APBD,"ALIF, ALIF, NAFILAH",Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAKET SEDANG BERJALAN,827000,827000
KAB. DOMPU,DINAS KEBUDAYAAN DAN PARIWISATA - 2.22.3.26.0.00.01.0000,10948265000,65423678,2026,Pencatatan,APBD,UD. RUI BADA,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya,PAKET SEDANG BERJALAN,500000,500000
KAB. DOMPU,PUSKESMAS RASABOU - 1.02.0.00.0.00.01.0009,10942957000,65421838,2026,Pencatatan,APBD,ika putri,Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor- Bahan Cetak,PAKET SELESAI,81000,81000
KAB. DOMPU,DINAS KOPERASI DAN UKM - 2.17.0.00.0.00.01.0000,10941921000,65362428,2026,Pencatatan,APBD,"ud, warna",Pengadaan Langsung,Pengadaan Barang,Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor,PAKET SEDANG BERJALAN,1718000,1718000
